,Risk
934,7.027048815471139e-08
935,1.9361758204653562e-07
936,1.0636519795126906e-07
937,1.1561234824014872e-07
938,9.927438692710246e-08
939,6.657341021179824e-07
940,2.718681591048952e-07
941,1.3526102199134664e-07
942,9.725038982838048e-08
943,1.1604925432957244e-07
944,2.4435534494646317e-06
945,3.024423554483524e-07
946,1.083836117134671e-07
947,6.213862911516742e-07
948,1.8988679266721492e-07
949,1.2841856351829852e-07
950,1.0301611434299904e-06
951,1.1069947573363454e-07
952,4.4589074786641146e-08
953,4.4154008508319554e-07
954,3.045916527573767e-08
955,5.2176357603686835e-08
956,1.1669216024359473e-07
957,1.7915500658957292e-06
958,1.170300118086969e-06
959,5.950052089188529e-08
960,1.3248044480974955e-07
961,5.562128057277923e-07
962,1.4941497614750008e-06
963,1.307784872252515e-06
964,7.3612355056362e-08
965,1.4677165987676483e-07
966,1.1384720963753449e-07
967,4.1483369293729536e-08
968,7.92519578409233e-08
969,3.9721980719341814e-08
970,6.11263238497615e-08
971,4.1514784325123435e-08
972,5.246531018381458e-08
973,3.9982852842376556e-08
974,1.170947053661627e-07
975,3.592453443434761e-08
976,0.00011077806933755462
977,7.528280818801506e-08
978,2.4623574098170575e-07
979,2.9368468365040332e-08
980,1.8354834373715696e-08
981,7.736071219925639e-08
982,1.562978842056921e-05
983,1.2446752921991178e-06
984,4.4388023764819325e-08
985,6.211689270380426e-08
986,2.8888254948939437e-08
987,2.973304335802992e-08
988,4.660293441283552e-08
989,5.120545427928331e-08
990,5.818277576110572e-08
991,7.133063543273221e-08
992,9.498240944686478e-08
993,1.3542018099584324e-07
994,1.4779322552363955e-07
995,1.6491444718629902e-07
996,2.9027017715890637e-07
997,1.8066033450243678e-06
998,2.103889150876445e-07
999,1.9596901055212237e-07
1000,9.975038023627638e-08
1001,1.710110824804866e-07
1002,1.2504332215545013e-07
1003,1.1483512146983962e-07
1004,5.788037456153464e-08
1005,1.220223181735947e-07
1006,4.100542928437743e-08
1007,9.53363728697817e-08
1008,1.7135331285698297e-07
1009,7.581100615573047e-08
1010,1.1950257239428022e-07
1011,7.435636133930149e-08
1012,8.53511811247775e-07
1013,4.6279348806988946e-07
1014,7.543746824715806e-07
1015,4.3044227219738003e-07
1016,8.04435651343731e-07
1017,8.408161730357161e-07
1018,2.9823594768724814e-07
1019,1.2661049981884294e-06
1020,3.314293376016681e-07
1021,1.251712969774699e-06
1022,6.479097600871575e-07
1023,3.302439855614575e-07
1024,3.1120808122184224e-07
1025,1.577026887431101e-07
1026,1.5702728629629038e-07
1027,1.0955273413547682e-07
1028,2.812182923768081e-07
1029,2.3753217992589844e-07
1030,1.0174726957685383e-07
1031,5.843939805085756e-07
1032,2.058351703960655e-07
1033,1.5115630397846726e-07
1034,3.1433932157776024e-07
1035,2.598783103056662e-07
1036,0.00020498916120046247
1037,3.6905069707072055e-07
